"Имя","Категории","Описание","Краткое описание","Цена","Изображения","Изображения","Изображения","Артикул","video_youtube","pdf_instruction","tovar_articul_product","Значения атрибутов 1","Название атрибута 1","Название атрибута 2","Значения атрибутов 2","Название атрибута 3","Значения атрибутов 3","Название атрибута 4","Значения атрибутов 4","Название атрибута 5","Значения атрибутов 5","Название атрибута 6","Значения атрибутов 6","Название атрибута 7","Значения атрибутов 7","Название атрибута 8","Значения атрибутов 8","Название атрибута 9","Значения атрибутов 9","Название атрибута 10","Значения атрибутов 10","Название атрибута 11","Значения атрибутов 11","Название атрибута 12","Значения атрибутов 12","Название атрибута 13","Значения атрибутов 13","Название атрибута 14","Значения атрибутов 14","Название атрибута 15","Значения атрибутов 15","Название атрибута 16","Значения атрибутов 16","Название атрибута 17","Значения атрибутов 17","Название атрибута 18","Значения атрибутов 18","Название атрибута 19","Значения атрибутов 19","Название атрибута 20","Значения атрибутов 20","Название атрибута 21","Значения атрибутов 21","Название атрибута 22","Значения атрибутов 22"
"Резиновая накладка на монтировку (1шт) KraftWell  арт. X003500","Шиномонтажное > Аксессуары для шиномонтажей",,"Резиновая защитная накладка на монтировку. Защищает диски от повреждений во время работы.",570,"https://www.mkslift.ru/images/products/s_1200/15863_2bCFeBb9hr.jpg",,"https://www.mkslift.ru/images/products/s_300/15863_2bCFeBb9hr.jpg","X003500",,,,"KraftWell (КНР)","Бренд","Гарантия","12 мес.","Тип","пластик. защита",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Накладка пластикова на отбортовщик (1шт) KraftWell  арт. C-200-070600-0","Шиномонтажное > Аксессуары для шиномонтажей","
			Пластиковая защитная накладка на лопатку обортовщика для защиты дисков от повреждения в процессе отрыва борта шины от диска.","KRW24KRW26",950,"https://www.mkslift.ru/images/products/s_1200/15864_9YW6AZ2FKq.jpg",,"https://www.mkslift.ru/images/products/s_300/15864_9YW6AZ2FKq.jpg","C-200-070600-0",,,,"KraftWell (КНР)","Бренд","Гарантия","12 мес.","Тип","пластик. защита",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Комплект пластиковых накладок на монтажную головку (5+5шт) Red Line Premium  арт. X001801_X003429","Шиномонтажное > Аксессуары для шиномонтажей","
			Комплект пластиковых защитных накладок на рабочую монтажную головку арт. X000020. В комплекте накладка на заднюю (5шт) и переднюю (5шт) часть головки. Для шиномонтажных станков TCR26IT, TCR26IT_220.","Комплект пластиковых защитных накладок на рабочую монтажную головку арт. X000020. В комплекте накладка на заднюю (5шт) и переднюю (5шт) часть головки. Для шиномонтажных станков TCR26IT, TCR26IT_220.",1995,"https://www.mkslift.ru/images/products/s_1200/15865_KCunKEhk5X.jpg",,"https://www.mkslift.ru/images/products/s_300/15865_KCunKEhk5X.jpg","X001801_X003429",,,,"Red Line Premium (КНР)","Бренд","Гарантия","12 мес.","Тип","пластик. защита",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Комплект пластиковых накладок на монтажную головку (5+5шт) KraftWell  арт. X001808_X003427","Шиномонтажное > Аксессуары для шиномонтажей","
			Комплект пластиковых защитных накладок на рабочую монтажную головку арт. X000017, арт. X000022. В комплекте накладка на заднюю (5шт) и переднюю (5шт) часть головки. Для шиномонтажных станков KRW24, KRW24/220, KRW24A, KRW24A/220, KRW24ITA.
TCR26ITA, TCR28IT.","Комплект пластиковых защитных накладок на рабочую монтажную головку арт. X000017, арт. X000022. В комплекте накладка на заднюю (5шт) и переднюю (5шт) часть головки. Для шиномонтажных станков KRW24, KRW24/220, KRW24A, KRW24A/220, KRW24ITA.TCR26ITA, TCR28IT.",1615,"https://www.mkslift.ru/images/products/s_1200/15866_ks796bgYPn.jpg",,"https://www.mkslift.ru/images/products/s_300/15866_ks796bgYPn.jpg","X001808_X003427",,,,"KraftWell (КНР)","Бренд","Гарантия","12 мес.","Тип","пластик. защита",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Трос синхронизации KraftWell  арт. 30400-8730","Запасные части > Запчасти KRAFTWELL > Подъемники","
			KRW4MLS","KRW4MLS8730mm",8740,"https://www.mkslift.ru/images/products/s_1200/15886_7Y9q93PATY.jpg",,"https://www.mkslift.ru/assets/img/saleredribbon.png","30400-8730",,,"KRW4MLS, KRW4MLS/220","KraftWell (КНР)","Бренд","Гарантия","12 мес.","Категория","Подъемники",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Обновление БД для RR400 TopAuto  арт. EPROM16","Кондиционеры > Опции и материалы",,"Обновление БД для установки RR400. Автомобили до 2016 года выпуска (включительно)",5103,"https://www.mkslift.ru/images/products/s_1200/15887_ZvffUUpUEM.jpg",,"https://www.mkslift.ru/images/products/s_300/15887_ZvffUUpUEM.jpg","EPROM16",,,,"TopAuto (Италия)","Бренд","Гарантия","12 мес.","Тип","аксессуар",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Гидроцилинд в сборе Werther-OMA  арт. B4658","Запасные части > WERTHER (OMA) > Подъёмники ножничные, подкатные колонны","
			STRATOS SR/E(OMA532LP35)","STRATOS SR/E(OMA532LP35)",110702,"https://www.mkslift.ru/images/products/s_1200/15889_CshMZCvNMP.jpg",,"https://www.mkslift.ru/assets/img/saleredribbon.png","B4658",,,,"Werther-OMA (Италия)","Бренд","Гарантия","""0"" мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Комплект пластиковых накладок (5+5шт) KraftWell  арт. X005624_X005625","Шиномонтажное > Аксессуары для шиномонтажей","
			Комплект пластиковых защитных накладок на рабочую монтажную головку арт. X000017. В комплекте накладка на заднюю (5шт) и переднюю (5шт) часть головки. Для шиномонтажных станков KRW24, KRW24/220, KRW24A, KRW24A/220, KRW24ITA. TCR26ITA.","Комплект пластиковых защитных накладок на рабочую монтажную головку арт. X000017. В комплекте накладка на заднюю (5шт) и переднюю (5шт) часть головки. Для шиномонтажных станков KRW24, KRW24/220, KRW24A, KRW24A/220, KRW24ITA. TCR26ITA.",1615,"https://www.mkslift.ru/images/products/s_1200/15902_7YNcDGxwSt.jpg","https://www.mkslift.ru/images/products/s_1200/15902_KqQpvVaZE8.jpg","https://www.mkslift.ru/images/products/s_300/15902_7YNcDGxwSt.jpg","X005624_X005625",,,,"KraftWell (КНР)","Бренд","Гарантия","12 мес.","Тип","пластик. защита",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ремкомплект для стойки MEGA  арт. RTR-750","Запасные части > MEGA",,"TR750",2484,"https://www.mkslift.ru/images/products/s_1200/15937_gVTwhrzkzs.jpg",,"https://www.mkslift.ru/images/products/s_300/15937_gVTwhrzkzs.jpg","RTR-750",,,"TRS750","MEGA (Испания)","Бренд","Гарантия","24 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Катушка-удлинитель электрическая, 15 м., 220 В. KraftWell  арт. KRW1731EW","Общегаражное > Осветительное","
			В каждом автосервисе используется различный электроинструмент или лампы освещения. Обычно их подключают к переноскам, кабель которых находится на полу. Такое решение доставляет массу неудобств во время работы. Ведь постоянно путающийся под ногами кабель представляет большую угрозу безопасности механика, а также подвергается постоянному износу. Решить эти проблемы можно с помощью инерционной катушки с намотанным на нее кабелем. Корпус катушки изготавливается из ударопрочного пластика и может быть, как закрытого, так и открытого типа. Благодаря компактным габаритам корпуса катушки, ее можно установить в любом удобном месте, а возможность сматывания кабеля является более эргономичным решением по сравнению с классическими удлинителями. Чаще всего монтаж катушки проводится на стенах или колоннах здания. Поворотный кронштейн катушки позволяет поворачивать ее на 180 градусов. Неподвижная часть кабеля имеет длину не более 1 метра и оснащается вилкой для подключения к электросети. Подвижная часть кабеля, выходящая из катушки, имеет разъем для подключения электропотребителя, может вытягиваться на необходимую длину и фиксироваться в таком положении. За счет регулируемой длины кабеля, он, в отличие от обычных удлинителей, не мешается при работе, а ограничитель сматывания не дает кабелю полностью смотаться в корпус после окончания работы. 
Среди наиболее важных характеристик, отличающих одну катушку от другой можно отметить: 

    Тип корпуса катушки
    Материал корпуса катушки
    Длина кабеля
    Напряжение сети
    Сечение кабеля
    Расчетная мощность  

Эксплуатационные характеристики катушки KRW1731EW: 

    Тип корпуса: закрытый
    Материал корпуса: ударопрочный пластик
    Длина кабеля: 15 метров
    Напряжение сети: 220 В
    Сечение кабеля: 3х1,5 мм2
    Расчетная мощность: 3 кВт","Катушка -удилинитель, 15 м,, 220 В.",9975,"https://www.mkslift.ru/images/products/s_1200/15962_fEqexFSMBA.jpg","https://www.mkslift.ru/images/products/s_1200/15962_brs3pfe2Mf.jpg","https://www.mkslift.ru/images/products/s_300/15962_fEqexFSMBA.jpg","KRW1731EW",,,,"KraftWell (КНР)","Бренд","Гарантия","12 мес.","Сеть","220 В","Сечение кабеля","3х1.5 мм2","Упак. размеры","350/180/320 Д/Ш/В, мм","Вес брутто","5,8 кг.","Кол-во мест","1 шт.","Длина","35 мм.","Ширина","18 мм.","Высота","32.5 мм.","Мощность","3 кВт","Длина кабеля","15 м.",,,,,,,,,,,,,,,,,,,,
"Насос гидравлический ручной 30 т KraftWell  арт. KRWHP30","Общегаражное > Гидравлические насосы, цилиндры, манометры","
			Гидравлический насос с ручным или ножным приводом выполняет роль преобразователя механической энергии в гидравлическую. Данный тип насосов наиболее распространен из-за их невысокой стоимости и простоты конструкции. Создаваемое насосом давление позволяет применять его в гидравлических системах с высоким давлением. В зависимости от типа привода, управление насосом производится рукояткой или ножной педалью. Наличие аварийного клапана давления защищает насос и исполнительные механизмы от перегрузок. 
Гидравлический насос с ручным или ножным приводом чаще всего используют для работы с гидравлическими цилиндрами прямого и обратного действия, применяемыми в конструкциях следующего оборудования: 

    Гидравлические 	гаражные прессы
    Гидравлические 	гаражные краны
    Стяжки пружин подвески 	автомобилей
    Наборы гидравлических 	растяжек для кузовного ремонта
    Гидравлические 	цилиндры,  для строительства

Гидравлический насос KRAFTWELL, модель KRWHP30 с ручным приводом развивает усилие 30 тонн и оснащен аварийным клапаном давления. В комплекте с насосом поставляется гидравлический шланг длиной 1200мм. Объем заправляемого гидравлического масла составляет 1000 мл.","Насос гидравлический ручной 30 т",10900,"https://www.mkslift.ru/images/products/s_1200/15994_yzgYxArEhF.jpg",,"https://www.mkslift.ru/assets/img/saleredribbon.png","KRWHP30",,,"KRWPR30, KRWPR30F","KraftWell (КНР)","Бренд","Гарантия","12 мес.","Тип","мобильный","Привод","ручной","Усилие","20 т","Упак. размеры","640/215/155 Д/Ш/В, мм","Вес брутто","9 кг.","Кол-во мест","1 шт.","Категория","Гидравлические насосы, цилиндры, манометры","Цвет","серый",,,,,,,,,,,,,,,,,,,,,,,,
"Фильтр-редуктор-лубрикатор, 1/2"" KraftWell  арт. KRW1771.2A12","Для пневмолинии > Фиттинги, фильтры","
			Подключение пневмоинструмента напрямую к компрессору или пневмолинии крайне опасно. Это может привести к серьезной поломке инструмента и последующему дорогостоящему ремонту. Кроме того, для каждого вида пневмоинструмента требуется свое рабочее давление, очищенный воздух и определенное количество смазки. Слишком высокое давление воздуха приводит к преждевременному износу механизмов инструмента, а слишком низкое не позволяет реализовать заявленную мощность инструмента полностью. Что касается качества воздуха, подаваемого компрессором, то, как правило приходится сталкиваться с влажным и загрязненным воздухом. Это тоже сильно влияет на ресурс пневмоинструмента. Установка блока фильтрующих элементов и осушителя совместно с компрессором, конечно же дает эффект. Такое решение позволяет удалить из сжатого воздуха конденсат, пыль, масло, ржавчину и другие загрязнения. Однако, по пути следования сжатого воздуха, особенно если используется пневмолиния достаточно большой длины, в него опять может попасть пыль и конденсат. Поэтому, чтобы избежать подобных проблем, воздух после компрессора нужно подготовить перед попаданием в инструмент. Решение перечисленных задач возложено на блок подготовки воздуха или, как его еще называют, фильтр-редуктор-лубрикатор, сочетающий в себе функции воздушного фильтра, регулятора давления и устройства смазки.
Следует запомнить: блок подготовки воздуха ставится как можно дальше от компрессора и как можно ближе к инструменту!!!
Блок подготовки воздуха KRW1771.2A12 выполнен в виде единого корпуса, объединяющего в себе фильтр высокой степени очистки, регулятор давления, обеспечивающий стабильное давление до 10 бар, оснащенный манометром для контроля давления, и лубрикатор для автоматической подачи смазки. Для присоединения к пневмолинии используется внутренняя резьба 1/2”.","Блок подготовки воздуха: регулятор давления с фильтром, лубрикатором и манометром, 1/2"".",4200,"https://www.mkslift.ru/images/products/s_1200/15995_mpd7Zq7T49.jpg","https://www.mkslift.ru/images/products/s_1200/15995_zc562vKgwP.jpg, https://www.mkslift.ru/images/products/s_1200/15995_FWemdQRXHv.jpg, https://www.mkslift.ru/images/products/s_1200/15995_v5YequgHT7.jpg, https://www.mkslift.ru/images/products/s_1200/15995_cbZFhzbgvf.jpg, https://www.mkslift.ru/images/products/s_1200/15995_wSy75CUFrP.jpg, https://www.mkslift.ru/images/products/s_1200/15995_fzgQGFHvD7.jpg, https://www.mkslift.ru/images/products/s_1200/15995_pkx8gYfqx3.jpg, https://www.mkslift.ru/images/products/s_1200/15995_75zZUE5nsU.jpg","https://www.mkslift.ru/images/products/s_300/15995_mpd7Zq7T49.jpg","KRW1771.2A12","https://www.youtube.com/embed/lRi6oHcJqlM",,,"KraftWell (КНР)","Бренд","Гарантия","12 мес.","Тип","Фильтр-редуктор-лубрикатор","Упак. размеры","225/140/80 Д/Ш/В, мм","Вес брутто","1 кг.","Кол-во мест","1 шт.","Длина","200 мм.","Ширина","105 мм.","Высота","140 мм.","Присоед. резьба","1/2 """,,,,,,,,,,,,,,,,,,,,,,,,
"Помпа пневмогидравлическая 1.6 л. KraftWell  арт. KRWPP16","Общегаражное > Гидравлические насосы, цилиндры, манометры","
			Пневмогидравлический насос KRWPP16 найдет широкое применение в различных областях, где требуется преобразовывать энергию сжатого воздуха в гидравлическое давление. Например, с его помощью можно модернизировать гидравлический пресс, гаражный кран, присоединить к любому гидроцилиндру, в том числе применяемому в кузовном ремонте. Управление насосом производится ножной педалью и таким образом освобождает руки оператора. Создаваемое рабочее давление 700 бар позволяет применять насос в гидравлических системах с высоким давлением. Наличие аварийного клапана давления защищает насос и исполнительные механизмы от перегрузок.
Технические и эксплуатационные характеристики KRWPP16:

    Максимальное гидравлическое давление 700 бар
    Присоединительная резьба гидравлического шланга 3/8” NPT
    Давление воздуха 2.8-10.3 бар
    Разъем подключения воздуха 1/4”
    Пластиковый бак для масла
    Объем 1,6 литра","Помпа пневмогидравлическая, 1.6 л.",20900,"https://www.mkslift.ru/images/products/s_1200/15998_WMaVzQBypz.jpg","https://www.mkslift.ru/images/products/s_1200/15998_Z9Y46Acupy.jpg, https://www.mkslift.ru/images/products/s_1200/15998_NQNMAURmVN.jpg, https://www.mkslift.ru/images/products/s_1200/15998_Xrpy7bYdug.jpg","https://www.mkslift.ru/assets/img/saleredribbon.png","KRWPP16",,,"KRWHH-1.5, KRWTB-A, KRWJ2N, KRWJ7P, KRWJN2P","KraftWell (КНР)","Бренд","Гарантия","12 мес.","Объем бака","1.6 л.","Упак. размеры","300/175/205 Д/Ш/В, мм","Вес брутто","6 кг.","Кол-во мест","1 шт.","Категория","Гидравлические насосы, цилиндры, манометры","Длина","330 мм.","Ширина","300 мм.","Высота","240 мм.","Вес","5.4 кг.","Рабочее давление","700 бар",,,,,,,,,,,,,,,,,,,,
"Помпа пневмогидравлическая 2.3 л. KraftWell  арт. KRWPP23","Общегаражное > Гидравлические насосы, цилиндры, манометры","
			Пневмогидравлический насос KRWPP23 найдет широкое применение в различных областях, где требуется преобразовывать энергию сжатого воздуха в гидравлическое давление. Например, с его помощью можно модернизировать гидравлический пресс, гаражный кран, присоединить к любому гидроцилиндру, в том числе применяемому в кузовном ремонте. Управление насосом производится ножной педалью и таким образом освобождает руки оператора. Создаваемое рабочее давление 700 бар позволяет применять насос в гидравлических системах с высоким давлением. Наличие аварийного клапана давления защищает насос и исполнительные механизмы от перегрузок.

Технические и эксплуатационные характеристики KRWPP23:

    Рабочее гидравлическое давление 700 бар
    Присоединительная резьба гидравлического шланга 3/8” NPT
    Давление воздуха 6-8 бар
    Разъем подключения воздуха 1/4”
    Бак для масла из пластика
    Объем 2,3 литра","Помпа пневмогидравлическая, 2.3 л.",30756,"https://www.mkslift.ru/images/products/s_1200/15999_TK4CsrkXSX.jpg","https://www.mkslift.ru/images/products/s_1200/15999_8z9FATBhsW.jpg, https://www.mkslift.ru/images/products/s_1200/15999_9MqFskUsxH.jpg, https://www.mkslift.ru/images/products/s_1200/15999_zwWuTSFKCx.jpg, https://www.mkslift.ru/images/products/s_1200/15999_UnKurVXUmv.jpg, https://www.mkslift.ru/images/products/s_1200/15999_wMvxEPDmfy.jpg, https://www.mkslift.ru/images/products/s_1200/15999_QtXuX8EqpQ.jpg, https://www.mkslift.ru/images/products/s_1200/15999_ErBWEVqY3A.jpg, https://www.mkslift.ru/images/products/s_1200/15999_nfHfNNZRxr.jpg, https://www.mkslift.ru/images/products/s_1200/15999_EHnxTcpx92.jpg, https://www.mkslift.ru/images/products/s_1200/15999_wt74BdG7dW.jpg, https://www.mkslift.ru/images/products/s_1200/15999_QgymAcdZH8.jpg, https://www.mkslift.ru/images/products/s_1200/15999_PqAC5GM9qq.jpg","https://www.mkslift.ru/assets/img/saleredribbon.png","KRWPP23","https://www.youtube.com/embed/cvwEhoChXDE?si=iWOu54JnoaDYE4Ew",,"KRWHH-1.5, KRWTB-A, KRWJ2N, KRWJ7P, KRWJN2P","KraftWell (КНР)","Бренд","Гарантия","12 мес.","Объем бака","2.3 л.","Упак. размеры","355/220/210 Д/Ш/В, мм","Вес брутто","9,5 кг.","Кол-во мест","1 шт.","Категория","Гидравлические насосы, цилиндры, манометры",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Дрель пневматическая, пистолетная патрон 1-10 мм. KS-Tools  арт. 5153030","Распродажа инструмента",,"Дрель пневматическая, пистолетная патрон 1-10 мм.",14040,"https://www.mkslift.ru/images/products/s_1200/160_ayQdqvHkQD.jpg",,"https://www.mkslift.ru/assets/img/saleredribbon.png",5153030,,,,"KS-Tools (Германия)","Бренд","Гарантия","12 мес.","Тип","пневмо","Диаметр шланга","3/8 ""","Длина","195 мм.","Вес","0,92 кг.","Мощность","0,33 кВт","Воздух","макс 6,3 бар","Вибрация","<0,1 м/сек2","Присоед. резьба","1/4 ""","Расход воздуха","113 л/мин.","Скорость вращения","1,800 об/мин","Уровень давления шума","82 дБ","Уровень мощности шума","95 дБ",,,,,,,,,,,,,,,,
