"Имя","Категории","Описание","Краткое описание","Цена","Изображения","Артикул","video_youtube","pdf_instruction","tovar_articul_product","Название атрибута 1","Значения атрибутов 1","Название атрибута 2","Значения атрибутов 2","Название атрибута 3","Значения атрибутов 3","Название атрибута 4","Значения атрибутов 4","Название атрибута 5","Значения атрибутов 5","Название атрибута 6","Значения атрибутов 6","Название атрибута 7","Значения атрибутов 7","Название атрибута 8","Значения атрибутов 8","Название атрибута 9","Значения атрибутов 9","Название атрибута 10","Значения атрибутов 10","Название атрибута 11","Значения атрибутов 11","Название атрибута 12","Значения атрибутов 12","Название атрибута 13","Значения атрибутов 13","Название атрибута 14","Значения атрибутов 14","Название атрибута 15","Значения атрибутов 15","Название атрибута 16","Значения атрибутов 16","Название атрибута 17","Значения атрибутов 17","Название атрибута 18","Значения атрибутов 18","Название атрибута 19","Значения атрибутов 19","Название атрибута 20","Значения атрибутов 20","Название атрибута 21","Значения атрибутов 21","Название атрибута 22","Значения атрибутов 22"
"Насадка газоприемная круглая 127 мм KraftWell  арт. KRW-EN-127R","Вытяжное > Насадки, тройники, балансиры, кронштейны","
			Газоприемная насадка предназначена для соединения выхлопной трубы автомобиля с вытяжным шлангом и дальнейшего удаления выхлопных газов.

    Насадка снабжена крышкой с прорезями, позволяющими надежно фиксировать ее на выхлопной трубе автомобиля.
    Отверстие для отбора проб CO2 предназначено для присоединения газоанализатора.
    Предназначена для соединения с шлангом KRW-EH-127 диаметром 127 мм.","Газоприемная насадка, круглая с крышкой. Для вытяжного шланга диаметром 127 мм.",4465,"https://www.mkslift.ru/images/products/s_1200/17212_CUCRtDBk68.jpg, https://www.mkslift.ru/images/products/s_1200/17212_kGtuxTE2r4.jpg, https://www.mkslift.ru/images/products/s_1200/17212_tqqDaNztH9.jpg, https://www.mkslift.ru/images/products/s_1200/17212_ncpQAb2bU6.jpg, https://www.mkslift.ru/images/products/s_1200/17212_Ykm4qwnsNn.jpg, https://www.mkslift.ru/images/products/s_1200/17212_sWNnRSHxwB.jpg","KRW-EN-127R","https://www.youtube.com/embed/2Zq1Rt9O9gQ?si=l5ZfEt8gtortTQCw",,"KRW-EH-127-7.5, KRW-ER-127, ARHSVB00125100, KRW-EH-127-2.5, KRW-FST, KRW-EH-127-5","Бренд","KraftWell (КНР)","Гарантия","12 мес.","Тип","насадка","Диаметр шланга","127 мм.","Упак. размеры","350/150/150 Д/Ш/В, мм","Вес брутто","1 кг.","Кол-во мест","1 шт.","Категория","Насадки, тройники, балансиры, кронштейны",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Насадка газоприемная круглая с наклонной крышкой 76 мм KraftWell  арт. KRW-EN-76X","Вытяжное > Насадки, тройники, балансиры, кронштейны","
			Газоприемная насадка предназначена для соединения выхлопной трубы автомобиля с вытяжным шлангом и дальнейшего удаления выхлопных газов.

    Насадка снабжена наклонной крышкой.
    Для соединения с шлангом KRW-EH-76 диаметром 76 мм.","Газоприемная насадка, круглая с наклонной крышкой. Для вытяжного шланга диаметром 76 мм.",3800,"https://www.mkslift.ru/images/products/s_1200/17213_H6PhaCNkq5.jpg, https://www.mkslift.ru/images/products/s_1200/17213_fDDnQSQ3xW.jpg","KRW-EN-76X","https://www.youtube.com/embed/ZYh0RYVd5Fg?si=EgsMaXe8xfuqxzcw",,"KRW-EH-76, KRW-ER-76","Бренд","KraftWell (КНР)","Гарантия","12 мес.","Тип","насадка","Диаметр шланга","76 мм.","Упак. размеры","350/150/150 Д/Ш/В, мм","Вес брутто","1 кг.","Кол-во мест","1 шт.","Категория","Насадки, тройники, балансиры, кронштейны",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Насадка газоприемная круглая с наклонной крышкой 102 мм KraftWell  арт. KRW-EN-102X","Вытяжное > Насадки, тройники, балансиры, кронштейны","
			Газоприемная насадка предназначена для соединения выхлопной трубы автомобиля с вытяжным шлангом и дальнейшего удаления выхлопных газов.

    Насадка снабжена наклонной крышкой.
    Для соединения с шлангом KRW-EH-102 диаметром 102 мм.","Газоприемная насадка, круглая с наклонной крышкой. Для вытяжного шланга диаметром 102 мм.",3610,"https://www.mkslift.ru/images/products/s_1200/17214_RGhunmaDWK.jpg, https://www.mkslift.ru/images/products/s_1200/17214_kdC967YZ5S.jpg","KRW-EN-102X","https://www.youtube.com/embed/wR5h_InaQRc?si=I7CG0T6sRwRFdboh",,"KRW-EH-102-7.5, KRW-EH-102-5, KRW-EH-102-2.5, KRW-ER-102","Бренд","KraftWell (КНР)","Гарантия","12 мес.","Тип","насадка","Диаметр шланга","102 мм.","Упак. размеры","350/150/150 Д/Ш/В, мм","Вес брутто","1 кг.","Кол-во мест","1 шт.","Категория","Насадки, тройники, балансиры, кронштейны",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Насадка газоприемная овальная 76 мм KraftWell  арт. KRW-EN-76D","Вытяжное > Насадки, тройники, балансиры, кронштейны","
			Газоприемная насадка предназначена для соединения выхлопной трубы автомобиля с вытяжным шлангом и дальнейшего удаления выхлопных газов.

    Насадка имеет овальную форму для присоедниения к сдвоенной выхлопной трубе и снабжена крышкой с прорезями, позволяющими надежно фиксировать ее на выхлопной трубе автомобиля.
    Отверстие для отбора проб CO2 предназначено для присоединения газоанализатора.
    Предназначена для соединения с шлангом KRW-EH-76 диаметром 76 мм.","Газоприемная насадка, овальная с крышкой. Для вытяжного шланга диаметром 76 мм.",2375,"https://www.mkslift.ru/images/products/s_1200/17215_BKEBhqxkw3.jpg, https://www.mkslift.ru/images/products/s_1200/17215_EEeTfCh3hh.jpg, https://www.mkslift.ru/images/products/s_1200/17215_HFBnXm9Hgv.jpg","KRW-EN-76D","https://www.youtube.com/embed/jOlawdshPF8?si=a4WI__SVjs7E8ygb",,"KRW-EH-76, KRW-ER-76","Бренд","KraftWell (КНР)","Гарантия","12 мес.","Тип","насадка","Диаметр шланга","76 мм.","Категория","Насадки, тройники, балансиры, кронштейны",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Насадка газоприемная овальная 102 мм KraftWell  арт. KRW-EN-102D","Вытяжное > Насадки, тройники, балансиры, кронштейны","
			Газоприемная насадка предназначена для соединения выхлопной трубы автомобиля с вытяжным шлангом и дальнейшего удаления выхлопных газов.

    Насадка имеет овальную форму для присоедниения к сдвоенной выхлопной трубе и снабжена крышкой с прорезями, позволяющими надежно фиксировать ее на выхлопной трубе автомобиля.
    Отверстие для отбора проб CO2 предназначено для присоединения газоанализатора.
    Предназначена для соединения с шлангом KRW-EH-102 диаметром 102 мм.","Газоприемная насадка, овальная с крышкой. Для вытяжного шланга диаметром 102 мм.",4180,"https://www.mkslift.ru/images/products/s_1200/17216_vgCkdT3WRV.jpg, https://www.mkslift.ru/images/products/s_1200/17216_UUNwFAtnad.jpg, https://www.mkslift.ru/images/products/s_1200/17216_AaevqfWpP4.jpg","KRW-EN-102D","https://www.youtube.com/embed/pFs1PfAAcGE?si=Nm5k-OyKmzbvECWY",,"KRW-EH-102-7.5, KRW-EH-102-5, KRW-EH-102-2.5, KRW-ER-102","Бренд","KraftWell (КНР)","Гарантия","12 мес.","Тип","насадка","Диаметр шланга","102 мм.","Упак. размеры","250/200/100 Д/Ш/В, мм","Вес брутто","1 кг.","Кол-во мест","1 шт.","Категория","Насадки, тройники, балансиры, кронштейны",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Шланг вытяжной 76 мм, 2,5 м. KraftWell  арт. KRW-EH-76","Вытяжное > Шланги","
			Термостойкий вытяжной шланг предназначен для комплектации вытяжных катушек и применения в системах удаления выхлопных газов автомобилей.

Шланг изготовлен из прочного материала устойчивого к высоким температурам. Защиту шланга от деформации обеспечивает наружная спираль в пластиковой оплетке.

Свойства:

    Диаметр 76 мм
    Термостойкость до +180 С
    Высокая степень гибкости
    Прочный материал обеспечивает стойкость к разрывам
    Легко растягивается и восстанавливает первоначальное состояние


ВНИМАНИЕ!!! Цена указана за 2,5 погонных метра. Для заказа шланга большей длины необходимо пропорционально увеличить количество. Например, если необходимая длина составляет 7,5 метров, необходимо заказать 3 шт. При отгрузке шланг будет отрезан одним куском, выбранной длины.
На фотографиях указаны куски разной длины:

    2,5 м
    5 м
    7,5 м
    10 м
    12,5 м
    15 м","Термостойкий вытяжной шланг для отвода отработавших газов. Термостойкость max до +180 градусов по Цельсию. Диаметр шланга 76 мм, длина 2,5 м.",5510,"https://www.mkslift.ru/images/products/s_1200/17217_QyeaSHbr9A.jpg, https://www.mkslift.ru/images/products/s_1200/17217_cpBmeEF8YV.jpg, https://www.mkslift.ru/images/products/s_1200/17217_aBhmU7shcR.jpg, https://www.mkslift.ru/images/products/s_1200/17217_y79va4WpGY.jpg, https://www.mkslift.ru/images/products/s_1200/17217_8DvMapY9Uu.jpg, https://www.mkslift.ru/images/products/s_1200/17217_dy3nnb5PtD.jpg, https://www.mkslift.ru/images/products/s_1200/17217_rVkCSPVmXH.jpg","KRW-EH-76","https://www.youtube.com/embed/N43OY1fRpeM?si=VwuLONk7XvMnI7mL",,"KRW-SP-76, KRW-EN-76D, KRW-SY-76, KRW-EN-76R, KRW-EN-76X, KRW-ER-76, KRW-EF-0.75, KRW-ER-76","Бренд","KraftWell (КНР)","Гарантия","12 мес.","Диаметр шланга","76 мм.","Длина шланга/ов","2.5 м.","Упак. размеры","350/150/150 Д/Ш/В, мм","Вес брутто","1 кг.","Кол-во мест","1 шт.","Категория","Шланги","Темп. диапазон","180 С",,,,,,,,,,,,,,,,,,,,,,,,,,
"Шланг вытяжной 102 мм, 2,5 м. KraftWell  арт. KRW-EH-102-2.5","Вытяжное > Шланги","
			Термостойкий вытяжной шланг предназначен для комплектации вытяжных катушек и применения в системах удаления выхлопных газов автомобилей.

Шланг изготовлен из прочного материала устойчивого к высоким температурам. Защиту шланга от деформации обеспечивает наружная спираль в пластиковой оплетке.

Свойства:

    Диаметр 102 мм
    Термостойкость до +180 С
    Высокая степень гибкости
    Прочный материал обеспечивает стойкость к разрывам
    Легко растягивается и восстанавливает первоначальное состояние","Термостойкий вытяжной шланг для отвода отработавших газов. Термостойкость max до +180 градусов по Цельсию. Диаметр шланга 102 мм, длина 2,5 м.",7695,"https://www.mkslift.ru/images/products/s_1200/17218_TwTtNHCyXy.jpg","KRW-EH-102-2.5","https://www.youtube.com/embed/wekEU9Z_sck?si=FgDdFZR6fvyIgjoB",,"KRW-EN-102R, KRW-SY-102, KRW-SP-102, KRW-EN-102D, REN-100-160, KRW-EN-102X, KRW-ER-102, KRW-EF-0.75, KRW-EF-1.1, KRW-ER-102","Бренд","KraftWell (КНР)","Гарантия","12 мес.","Диаметр шланга","102 мм.","Длина шланга/ов","2.5 м.","Упак. размеры","2500/102/102 Д/Ш/В, мм","Вес брутто","1,5 кг.","Кол-во мест","1 шт.","Категория","Шланги","Темп. диапазон","180 С",,,,,,,,,,,,,,,,,,,,,,,,,,
"Шланг вытяжной 127 мм, 2,5 м. KraftWell  арт. KRW-EH-127-2.5","Вытяжное > Шланги","
			Термостойкий вытяжной шланг предназначен для комплектации вытяжных катушек и применения в системах удаления выхлопных газов автомобилей.

Шланг изготовлен из прочного материала устойчивого к высоким температурам. Защиту шланга от деформации обеспечивает наружная спираль в пластиковой оплетке.

Свойства:

    Диаметр 127 мм
    Термостойкость до +180 С
    Высокая степень гибкости
    Прочный материал обеспечивает стойкость к разрывам
    Легко растягивается и восстанавливает первоначальное состояние","Термостойкий вытяжной шланг для отвода отработавших газов. Термостойкость max до +180 градусов по Цельсию. Диаметр шланга 127 мм, длина 2,5 м.",10640,"https://www.mkslift.ru/images/products/s_1200/17219_8BcQR4NDpU.jpg, https://www.mkslift.ru/images/products/s_1200/17219_qwyCUWQBaX.jpg","KRW-EH-127-2.5","https://www.youtube.com/embed/RNV2CQ-aZ4k?si=6ffEOs-3goKCCv5E",,"KRW-SP-127, KRW-ER-127, KRW-EN-127R, KRW-EF-1.1, KRW-ER-127, KRW-FST","Бренд","KraftWell (КНР)","Гарантия","12 мес.","Диаметр шланга","127 мм.","Длина шланга/ов","2.5 м.","Упак. размеры","350/150/150 Д/Ш/В, мм","Вес брутто","1,5 кг.","Кол-во мест","1 шт.","Категория","Шланги","Темп. диапазон","180 С",,,,,,,,,,,,,,,,,,,,,,,,,,
"Вентилятор центробежный для вытяжных катушек 0,75 кВт KraftWell  арт. KRW-EF-0.75","Вытяжное > Вентиляторы","
			Центробежный вентилятор для вытяжных катушек чаще всего используется для создания индивидуальной системы вентиляции в автосервисе или на промышленном предприятии. Такая компоновка позволяет не зависеть от центральной системы вентиляции и обеспечивает рациональное использование вытяжной мощности вентилятора и системы вцелом. 

Особенности:

    Корпус вентилятора изготовлен из алюминиевого сплава, тем самым предотвращается искрообразование и обеспечивается безопасность системы при попадании взрывоопасных газов
    В комплекте поставляется настенный кронштейн для установки вентилятора. Входное отверстие вентилятора соединяется с вытяжной катушкой при помощи вентиляционного короба, длина которого определяется в зависимости от степени удаления вентилятора от вытяжной катушки. Пример соединеня представлен на фото. ВНИМАНИЕ: Вентиляционные короба в комплект поставки не входит!!!
    Выходное отверстие подключается к наружной трубе вентиляции","Вентилятор для вытяжных катушек. Напряжение 380 В, мощность 0,75 кВт, воздухопоток 1900 м3/час. Применяются только в системах удаления выхлопных газов совместно с вытяжными катушками серии KRW-ER",38380,"https://www.mkslift.ru/images/products/s_1200/17220_E24EK9s4Zp.jpg, https://www.mkslift.ru/images/products/s_1200/17220_Tqpf9UASP8.jpg","KRW-EF-0.75","https://www.youtube.com/embed/rjB5FlI-sN8?si=jmM38QVA1PrT_XOX",,"KRW-EH-76, KRW-EH-102-7.5, KRW-EH-102-5, KRW-EH-102-2.5, KRW-ER-102, KRW-ER-76","Бренд","KraftWell (КНР)","Гарантия","12 мес.","Сеть","380 В","Упак. размеры","510/510/550 Д/Ш/В, мм","Вес брутто","15 кг.","Кол-во мест","1 шт.","Категория","Вентиляторы","Мощность","0.75 кВт","Цвет","серый","Произв-ть","1900 м3/ч.",,,,,,,,,,,,,,,,,,,,,,,,
"Вентилятор центробежный для вытяжных катушек 1,1 кВт KraftWell  арт. KRW-EF-1.1","Вытяжное > Вентиляторы","
			Центробежный вентилятор для вытяжных катушек чаще всего используется для создания индивидуальной системы вентиляции в автосервисе или на промышленном предприятии. Такая компоновка позволяет не зависеть от центральной системы вентиляции и обеспечивает рациональное использование вытяжной мощности вентилятора и системы вцелом. 

Особенности:

    Корпус вентилятора изготовлен из алюминиевого сплава, тем самым предотвращается искрообразование и обеспечивается безопасность системы при попадании взрывоопасных газов
    В комплекте поставляется настенный кронштейн для установки вентилятора. Входное отверстие вентилятора соединяется с вытяжной катушкой при помощи вентиляционного короба, длина которого определяется в зависимости от степени удаления вентилятора от вытяжной катушки. Пример соединеня представлен на фото. ВНИМАНИЕ: Вентиляционные короба в комплект поставки не входит!!!
    Выходное отверстие подключается к наружной трубе вентиляции","Вентилятор для вытяжных катушек. Напряжение 380 В, мощность 1,1 кВт, воздухопоток 2300 м3/час. Применяются только в системах удаления выхлопных газов совместно с вытяжными катушками серии KRW-ER",46550,"https://www.mkslift.ru/images/products/s_1200/17221_Y3cbR6dbZA.jpg, https://www.mkslift.ru/images/products/s_1200/17221_zUpdUAFNtD.jpg","KRW-EF-1.1","https://www.youtube.com/embed/bx7yLGx85MA?si=ITRnPOCIwanExl5w",,"KRW-EH-102-7.5, KRW-EH-102-5, KRW-EH-127-7.5, KRW-ER-127, KRW-EH-127-2.5, KRW-EH-102-2.5, KRW-ER-102, KRW-ER-76, KRW-EH-127-5","Бренд","KraftWell (КНР)","Гарантия","12 мес.","Сеть","380 В","Категория","Вентиляторы","Мощность","1.1 кВт","Цвет","серый","Произв-ть","2300 м3/ч.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Мобильная установка для удаления выхлопных газов, на тележке KraftWell  арт. KRW-FST","Вытяжное > Мобильные","
			Мобильная установка KRW-FST является полноценной системой удаления выхлопных газов с небольшими отличиями от стационарной версии. Конструкция установки такова, что позволяет использовать ее практически с любым видом транспорта. 
Принцип работы установки прост: вентилятор закреплен на вертикальной стойке при помощи фиксатора, позволяющего регулировать высоту подъема. Сама стойка крепится к платформе на 4-х колесах, позволяющих подкатить установку к автомобилю, а после окончания работ - вернуть к месту хранения. Входное отверстие вентилятора оснащено патрубком диаметром 250мм, через которы происходит забор выхлопных газов. К выпускному отверстию вентилятора возможно присоеднинить газоотводный шланг диаметром 127 мм любой длины. Шланг заказывается отдельно!!!","Мобильная установка для удаления выхлопных газов, на тележке. Мощность вентилятора 0,55 кВт, напряжение 380 В. Без шланга.",69825,"https://www.mkslift.ru/images/products/s_1200/17222_dmPhK2KDSB.jpg, https://www.mkslift.ru/images/products/s_1200/17222_Eu5sSvCY29.jpg, https://www.mkslift.ru/images/products/s_1200/17222_NpfvXky8yQ.jpg, https://www.mkslift.ru/images/products/s_1200/17222_4vtktrEy4V.jpg, https://www.mkslift.ru/images/products/s_1200/17222_Gnp9TTquXQ.jpg, https://www.mkslift.ru/images/products/s_1200/17222_Ap6G74Qchk.jpg, https://www.mkslift.ru/images/products/s_1200/17222_wZ8XMzH6yg.jpg, https://www.mkslift.ru/images/products/s_1200/17222_46rBQ38gdD.jpg, https://www.mkslift.ru/images/products/s_1200/17222_wCVQC8fXKV.jpg","KRW-FST","https://www.youtube.com/embed/NpOLvT9iTNA?si=LNF6QKEwtNFccIuw",,"KRW-SP-127, KRW-EH-127-7.5, KRW-EH-127-2.5, KRW-EN-127R, KRW-EH-127-5","Бренд","KraftWell (КНР)","Гарантия","12 мес.","Сеть","380 В","Диаметр шланга","127 мм.","Упак. размеры","500/500/900 Д/Ш/В, мм","Вес брутто","29 кг.","Кол-во мест","1 шт.","Категория","Мобильные","Вес","27 кг.","Мощность","0.75 кВт","Цвет","серый","Произв-ть","550 м3/ч.",,,,,,,,,,,,,,,,,,,,
"Разветвитель Y-образный 76х76x76 мм KraftWell  арт. KRW-SY-76","Вытяжное > Насадки, тройники, балансиры, кронштейны","
			Разветвитель-тройник используется в качестве адаптера при необходимости соединения двух вытяжных шлангов к одному при работе с автомобилями, имеющими две  выхлопных трубы. Выполнен из термостойкой стали, устойчивой к высоким температурам. Все три трубы в составе разветвителя имеют одинаковый диаметр – 76 мм.","Разветвитель-тройник для удаления выхлопных газов одновременно из двух выхлопных труб. Диаметр отверстий 76 мм.",3705,"https://www.mkslift.ru/images/products/s_1200/17223_WgWvDPBNCn.jpg, https://www.mkslift.ru/images/products/s_1200/17223_573Qrwhsay.jpg, https://www.mkslift.ru/images/products/s_1200/17223_P4KekM8QVm.jpg, https://www.mkslift.ru/images/products/s_1200/17223_Z2TG3uSycc.jpg","KRW-SY-76","https://www.youtube.com/embed/RnnGBQPLhro?si=kRnSNmoTd-bEcg95",,"KRW-EH-76, KRW-ER-76","Бренд","KraftWell (КНР)","Гарантия","12 мес.","Тип","тройник","Диаметр шланга","76 мм.","Категория","Насадки, тройники, балансиры, кронштейны","Диаметр","76х76х76 мм.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Разветвитель Y-образный 102х102x102 мм KraftWell  арт. KRW-SY-102","Вытяжное > Насадки, тройники, балансиры, кронштейны","
			Разветвитель-тройник используется в качестве адаптера при необходимости соединения двух вытяжных шлангов к одному при работе с автомобилями, имеющими две  выхлопных трубы. Выполнен из термостойкой стали, устойчивой к высоким температурам. Все три трубы в составе разветвителя имеют одинаковый диаметр – 76 мм.","Разветвитель-тройник для удаления выхлопных газов одновременно из двух выхлопных труб. Диаметр отверстий 102 мм.",3736,"https://www.mkslift.ru/images/products/s_1200/17224_mAXK5E49EM.jpg, https://www.mkslift.ru/images/products/s_1200/17224_3hKB8btYEv.jpg, https://www.mkslift.ru/images/products/s_1200/17224_4rPwDy7Ugc.jpg, https://www.mkslift.ru/images/products/s_1200/17224_gz5sbAcghT.jpg","KRW-SY-102","https://www.youtube.com/embed/RnnGBQPLhro?si=uHdwCX-ha91QgZOI",,"KRW-EH-102-7.5, KRW-EH-102-5, KRW-EH-102-2.5, KRW-ER-102","Бренд","KraftWell (КНР)","Гарантия","12 мес.","Тип","тройник","Диаметр шланга","102 мм.","Категория","Насадки, тройники, балансиры, кронштейны","Диаметр","102х102х102 мм.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Стопор вытяжного шланга 76 мм KraftWell  арт. KRW-SP-76","Вытяжное > Насадки, тройники, балансиры, кронштейны","
			Предназначен для фиксации шланга диаметром 76 мм на определенной высоте от катушки.","Стопор для вытяжного шланга диаметром 76 мм. Изготовлен из пластика.",1995,"https://www.mkslift.ru/images/products/s_1200/17225_CS898H8nEC.jpg, https://www.mkslift.ru/images/products/s_1200/17225_cNMPWp9Svk.jpg, https://www.mkslift.ru/images/products/s_1200/17225_azUvwcKvFa.jpg","KRW-SP-76","https://www.youtube.com/embed/rBs8UKb6VwA?si=L4IYdRGPRdYmJ1pR",,"KRW-EH-76, KRW-ER-76","Бренд","KraftWell (КНР)","Гарантия","12 мес.","Тип","стопор","Диаметр шланга","76 мм.","Упак. размеры","200/200/100 Д/Ш/В, мм","Вес брутто","1 кг.","Кол-во мест","1 шт.","Категория","Насадки, тройники, балансиры, кронштейны",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Стопор вытяжного шланга 102 мм KraftWell  арт. KRW-SP-102","Вытяжное > Насадки, тройники, балансиры, кронштейны","
			Предназначен для фиксации шланга диаметром 102 мм на определенной высоте от катушки.","Стопор для вытяжного шланга диаметром 102 мм. Изготовлен из пластика.",2185,"https://www.mkslift.ru/images/products/s_1200/17226_aBDKD3gF6n.jpg, https://www.mkslift.ru/images/products/s_1200/17226_ZhHsbgk4U6.jpg, https://www.mkslift.ru/images/products/s_1200/17226_BmSP4FD6SG.jpg","KRW-SP-102","https://www.youtube.com/embed/-sLv4M9aqAc?si=TQ933OFKkdTivqQ5",,"KRW-EH-102-7.5, KRW-EH-102-5, KRW-EH-102-2.5, KRW-ER-102","Бренд","KraftWell (КНР)","Гарантия","12 мес.","Тип","стопор","Диаметр шланга","102 мм.","Категория","Насадки, тройники, балансиры, кронштейны",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Стопор вытяжного шланга 127 мм KraftWell  арт. KRW-SP-127","Вытяжное > Насадки, тройники, балансиры, кронштейны","
			Предназначен для фиксации шланга диаметром 127 мм на определенной высоте от катушки.","Стопор для вытяжного шланга диаметром 127 мм. Изготовлен из пластика.",2470,"https://www.mkslift.ru/images/products/s_1200/17227_prhat9qhWC.jpg, https://www.mkslift.ru/images/products/s_1200/17227_4844kkyQSm.jpg, https://www.mkslift.ru/images/products/s_1200/17227_uxuU72x7Rh.jpg","KRW-SP-127","https://www.youtube.com/embed/o--VH7LFxaU?si=py7t5jZ9LhPPw471",,"KRW-EH-127-7.5, KRW-ER-127, KRW-EH-127-2.5, KRW-FST, KRW-EH-127-5","Бренд","KraftWell (КНР)","Гарантия","12 мес.","Тип","стопор","Диаметр шланга","127 мм.","Категория","Насадки, тройники, балансиры, кронштейны",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Насадка газоприемная круглая с наклонной крышкой 127 мм KraftWell  арт. KRW-EN-127X","Вытяжное > Насадки, тройники, балансиры, кронштейны","
			Газоприемная насадка предназначена для соединения выхлопной трубы автомобиля с вытяжным шлангом и дальнейшего удаления выхлопных газов.

    Насадка снабжена наклонной крышкой.
    Для соединения с шлангом KRW-EH-127 диаметром 127 мм.","Газоприемная насадка, круглая с наклонной крышкой. Для вытяжного шланга диаметром 127 мм.",4465,"https://www.mkslift.ru/images/products/s_1200/17236_f7qmq8Me2D.jpg, https://www.mkslift.ru/images/products/s_1200/17236_Gtc4Pk9FAy.jpg","KRW-EN-127X",,,"ARHSVB00125100","Бренд","KraftWell (КНР)","Гарантия","12 мес.","Тип","насадка","Диаметр шланга","127 мм.","Категория","Насадки, тройники, балансиры, кронштейны",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Реле времени KraftWell  арт. KRW-H3Y","Запасные части > Запчасти KRAFTWELL > Подъемники",,"KRW3TN KRW3FS KRW3,2U",2500,"https://www.mkslift.ru/images/products/s_1200/17253_Qc7wRE8Sma.jpg, https://www.mkslift.ru/images/products/s_1200/17253_Y48wFKTFs6.jpg","KRW-H3Y",,,"KRW3.2U, KRW3FS, KRW3FS/220, KRW3TN, KRW3TN/220, KRW3.2U/220, KRW3.2U_blue, KRW3FS_blue","Бренд","KraftWell (КНР)","Гарантия","12 мес.","Категория","Подъемники",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Клапан опускания в сборе KraftWell  арт.  BLF0602-00","Запасные части > Запчасти KRAFTWELL > Подъемники",,"KRW3FS KRW3TN KRW3,2U",11800,"https://www.mkslift.ru/images/products/s_1200/17254_SNXtTEaczb.jpg","BLF0602-00",,,"KRW3.2U, KRW3FS, KRW3FS/220, KRW3TN, KRW3TN/220, KRW3.2U/220, KRW3.2U_blue, KRW3FS_blue","Бренд","KraftWell (КНР)","Гарантия","12 мес.","Категория","Подъемники",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Пневмопедаль  управления KraftWell  арт. KRW260-S8","Запасные части > Запчасти KRAFTWELL > Подъемники",,"KRW260AB",7600,"https://www.mkslift.ru/images/products/s_1200/17259_MkGes7zCCA.jpg, https://www.mkslift.ru/images/products/s_1200/17259_W2yXGm5zCc.jpg","KRW260-S8",,,"KRW260B","Бренд","KraftWell (КНР)","Гарантия","12 мес.","Категория","Подъемники",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ремкомплект пневмоцилиндра KraftWell  арт. KRW300Kit","Запасные части > Запчасти KRAFTWELL > Станки специальные",,"KRW300",1900,"https://www.mkslift.ru/images/products/s_1200/17261_5tchkrmbga.jpg","KRW300Kit",,,"KRW300E, KRW300","Бренд","KraftWell (КНР)","Гарантия","12 мес.","Категория","Общегаражное оборудование",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ремкомплект станка KraftWell  арт. KRW300SKit","Запасные части > Запчасти KRAFTWELL > Станки специальные",,"KRW300S",6650,"https://www.mkslift.ru/images/products/s_1200/17268_eMbmb6QeAv.jpg","KRW300SKit",,,"KRW300S","Бренд","KraftWell (КНР)","Гарантия","12 мес.","Категория","Общегаражное оборудование",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
